Strain,Tmp298.15K,Tmp373.15K_StrRt0.1,Tmp473.15K,Tmp573.15K_StrRt0.1,Tmp673.15K,Tmp298.15K_ref,Tmp373.15K_StrRt0.1_ref,Tmp473.15K_ref,Tmp573.15K_StrRt0.1_ref,Tmp673.15K_ref
0.57,1184.9284137886496,1167.8867185286945,1221.3540513648184,1214.5279357647066,1096.0064415969537,1.024940821,1.010200074,1.056448313,1.050543851,0.948024985
0.58,1185.6113427785476,1168.9491166746593,1222.9128575325522,1215.7493221531213,1096.936442352191,1.024963034,1.010558511,1.057210257,1.051017369,0.948303431
0.59,1186.2809010769454,1169.9933591905865,1224.446954887463,1216.9505676775952,1097.850551978685,1.024985385,1.010912418,1.0579621,1.051484977,0.948578679
0.6,1186.9375704878871,1171.0200562606333,1225.957144076062,1218.132337403766,1098.749304539815,1.025007856,1.011261913,1.058704127,1.051946831,0.948850805
0.61,1187.5818077868655,1172.029787814594,1227.4441869866191,1219.295263805376,1099.6332076185208,1.025030432,1.011607109,1.05943661,1.052403079,0.949119879
0.62,1188.214046406359,1173.0231054953765,1228.9088092255809,1220.4399488655097,1100.502744039899,1.025053097,1.011948117,1.060159812,1.052853863,0.949385971
0.63,1188.8346979827325,1174.000534469611,1230.351702398638,1221.5669660109054,1101.358373455325,1.025075838,1.012285041,1.060873984,1.053299322,0.949649147
0.64,1189.4441537779066,1174.962575094949,1231.7735262146891,1222.676861895021,1102.2005338023882,1.025098644,1.012617985,1.061579366,1.053739588,0.949909476
0.65,1190.0427859877182,1175.9097044588416,1233.1749104289854,1223.7701580438377,1103.0296426513814,1.025121501,1.012947043,1.062276189,1.054174788,0.950167016
0.66,1190.6309489475905,1176.8423777994467,1234.5564566400203,1224.847352376912,1103.8460984489648,1.025144401,1.013272312,1.062964675,1.054605045,0.950421832
0.67,1191.2089802449968,1177.7610298196669,1235.9187399532054,1225.9089206148572,1104.6502816685825,1.025167333,1.013593881,1.063645036,1.055030477,0.950673981
0.68,1191.7772017471934,1178.6660759043298,1237.262310523036,1226.9553175832982,1105.4425558752846,1.025190289,1.013911839,1.064317478,1.055451199,0.950923521
0.69,1192.335920551819,1179.5579132476705,1238.5876949842725,1227.986978,1106.2232687132782,1.025213258,1.014226268,1.064982195,1.055867318,0.951170507
0.7,1192.885429867175,1180.4369219007203,1239.8953977816009,1229.0043197094546,1106.9927528219123,1.025236235,1.014537252,1.06563938,1.056278944,0.951414993
0.71,1193.4260098283085,1181.3034657435492,1241.1859024063178,1230.0077405037302,1107.7513266872556,1.025259213,1.014844868,1.066289213,1.056686177,0.951657031
0.72,1193.9579282544164,1182.1578933901037,1242.459672547747,1230.9976233170223,1108.4992954335758,1.025282182,1.015149191,1.06693187,1.057089115,0.951896671
0.73,1194.481441352534,1183.0005390302397,1243.7171531663678,1231.9743350190315,1109.2369515607425,1.02530514,1.015450296,1.06756752,1.057487855,0.952133962
0.74,1194.9967943720017,1183.8317232148838,1244.958771494967,1232.9382276810704,1109.9645756310492,1.025328079,1.015748253,1.068196326,1.05788249,0.952368953
0.75,1195.5042222137624,1184.651753588114,1246.184937973548,1233.8896393636264,1110.6824369102542,1.025350994,1.016043131,1.068818446,1.058273107,0.952601688
0.76,1196.0039499981665,1185.4609255707471,1247.3960471231935,1234.8288948521351,1111.3907939659257,1.025373881,1.016334996,1.069434031,1.058659795,0.952832214
0.77,1196.496193594612,1186.259522999928,1248.592478363625,1235.7563063449988,1112.0898952268765,1.025396735,1.016623912,1.070043229,1.059042635,0.953060573
0.78,1196.9811601160498,1187.0478187264523,1249.7745967787548,1236.6721740975283,1112.779979506362,1.025419551,1.016909941,1.07064618,1.059421708,0.953286806
0.79,1197.4590483810916,1187.8260751747875,1250.9427538341693,1237.5767870251589,1113.4612764920455,1.025442327,1.017193144,1.07124302,1.059797094,0.953510956
0.8,1197.9300493462372,1188.594544867694,1252.0972880501226,1238.4704232689903,1114.1340072051098,1.025465057,1.017473578,1.071833884,1.060168867,0.953733062
0.81,1198.394346510488,1189.3534709179075,1253.2385256333216,1239.3533507264513,1114.7983844308765,1.025487741,1.0177513,1.072418898,1.060537102,0.953953162
0.82,1198.8521162944348,1190.103087,1254.3667810704983,1240.2258275496315,1115.4546131229436,1.025510373,1.018026364,1.072998185,1.060901869,0.954171295
0.83,1199.3035283957192,1190.8436202353914,1255.482357686519,1241.0881026136274,1116.1028907829314,1.025532952,1.018298824,1.073571867,1.061263237,0.954387496
0.84,1199.7487461226017,1191.5752866974217,1256.5855481695437,1241.9404159570383,1116.743407817441,1.025555473,1.01856873,1.074140057,1.061621273,0.954601801
0.85,1200.1879267072334,1192.2982966979034,1257.676635065554,1242.7829991965802,1117.3763478738256,1.025577938,1.018836135,1.07470287,1.061976043,0.954814246
0.86,1200.6212216000868,1193.012852696993,1258.7558912443708,1243.616075917626,1118.001888156461,1.025600341,1.019101084,1.075260414,1.062327609,0.955024863
0.87,1201.048776746882,1193.719150133722,1259.8235803391146,1244.439862042326,1118.6201997246244,1.025622681,1.019363625,1.075812792,1.062676031,0.955233684
0.88,1201.4707328492386,1194.4173777471296,1260.8799571609115,1245.2545661768445,1119.2314477733744,1.025644956,1.019623804,1.076360109,1.063021371,0.955440743
