strain,RD,DD,TD,biaxial
2.29,1252.8546301111346,1250.955706502088,1388.778055925322,1272.8053570615393
2.3,1253.120903536037,1251.2400354178537,1389.2681017822188,1273.0837683013585
2.31,1253.386022036197,1251.5231627905423,1389.7562684093473,1273.3365394664909
2.32,1253.6499955879408,1251.8050988406312,1390.242571038004,1273.6127710224644
2.33,1253.9128340391326,1252.0858536584592,1390.7270247116571,1273.8868374534054
2.34,1254.174547110917,1252.3654372059768,1391.2096442885525,1274.1608589971024
2.35,1254.435144400166,1252.6438593192026,1391.6904444450843,1274.433804661463
2.36,1254.694635381515,1252.9211297102684,1392.1694396786977,1274.70463908007
2.37,1254.9530294095166,1253.1972579695823,1392.646644310915,1274.9505252543831
2.38,1255.2103357203305,1253.4722535675276,1393.122072489827,1275.2193914608629
2.39,1255.4665634342236,1253.7461258569735,1393.5957381934804,1275.4872493073806
2.4,1255.721721556969,1254.0188840746816,1394.0676552320251,1275.7541182641544
2.41,1255.9758189822896,1254.2905373437616,1394.5378372510177,1276.020013495886
2.42,1256.2288644931978,1254.5610946750191,1395.0062977334812,1276.261505965422
2.43,1256.4808667642064,1254.830564969178,1395.4730500029252,1276.5245446528547
2.44,1256.731834362843,1255.0989570184029,1395.938107225584,1276.786658660969
2.45,1256.9817757517449,1255.3662795084047,1396.4014824132864,1277.0478648215126
2.46,1257.2306992897647,1255.6325410195584,1396.8631884252193,1277.3081767127383
2.47,1257.4786132344743,1255.897750029414,1397.323237971233,1277.543560883632
2.48,1257.7255257430952,1256.161914913639,1397.7816436133915,1277.8022247716904
2.49,1257.9714448743616,1256.4250439478913,1398.2384177685465,1278.058988643454
2.5,1258.216378590267,1256.6871453095762,1398.693572710778,1278.3149199877498
2.51,1258.460334757343,1256.948227079135,1399.147120573302,1278.570036108686
2.52,1258.7033211483504,1257.2082972417472,1399.599073350828,1278.8007262690749
2.53,1258.9453454437898,1257.4673636888504,1400.0494429017128,1279.0532861944712
2.54,1259.186415233009,1257.72543421926,1400.498240949652,1279.3050717149947
2.55,1259.426538016298,1257.9825165412717,1400.945479086461,1279.5560987025815
2.56,1259.6657212054706,1258.238618273256,1401.3911687731731,1279.8063787471242
2.57,1259.9039721259614,1258.4937469457645,1401.8353213428072,1280.0548763650359
2.58,1260.1412980176974,1258.7479100024125,1402.2779480017684,1280.2805789998692
2.59,1260.3777060367863,1259.0011148015763,1402.7190598321486,1280.5277369935407
2.6,1260.6132032563328,1259.2533686172212,1403.1586677930525,1280.7731507429974
2.61,1260.8477966682403,1259.5046786407136,1403.59678272301,1281.0178868364678
