Strain,Stress,Strain Rate,Temperature,Normalized Stress
0.0208,982.2813333,0.0001,298,1.6927648880148314
0.021,982.9991,0.0001,298,1.694001814978988
0.0212,983.7162,0.0001,298,1.6952375930193964
0.0214,984.3611333,0.0001,298,1.6963490062249023
0.0216,984.9948667,0.0001,298,1.697441118648823
0.0218,985.6667667,0.0001,298,1.6985990035537883
0.022,986.3575667,0.0001,298,1.6997894588184852
0.0222,987.0062,0.0001,298,1.700907248231981
0.0224,987.6249,0.0001,298,1.701973453605849
0.0226,988.3069667,0.0001,298,1.7031488587794008
0.0228,988.9841667,0.0001,298,1.7043158771714866
0.023,989.5799,0.0001,298,1.7053425040437222
0.0232,990.1379333,0.0001,298,1.7063041625264397
0.0234,990.7456,0.0001,298,1.707351354220412
0.0236,991.3897333,0.0001,298,1.7084613887863527
0.0238,991.9448333,0.0001,298,1.7094179923147739
0.024,992.5196,0.0001,298,1.7104084874566203
0.0242,993.1104,0.0001,298,1.7114266127756461
0.0244,993.688,0.0001,298,1.7124219905418432
0.0246,994.2307333,0.0001,298,1.7133572825428731
0.0248,994.7707333,0.0001,298,1.7142878642494979
0.025,995.3407333,0.0001,298,1.7152701449398242
0.0252,995.9446667,0.0001,298,1.7163109030399346
0.0254,996.4476333,0.0001,298,1.7171776651084594
0.0256,996.9483333,0.0001,298,1.7180405211464354
0.0258,997.4823667,0.0001,298,1.7189608206145217
0.026,998.0161,0.0001,298,1.7198806029204412
0.0262,998.5404333,0.0001,298,1.7207841862114674
0.0264,999.0337,0.0001,298,1.7216342324475917
0.0266,999.5886333,0.0001,298,1.7225905487019937
0.0268,1000.093067,0.0001,298,1.7234598390231513
0.027,1000.627067,0.0001,298,1.7243800809330356
0.0272,1001.094933,0.0001,298,1.72518635415665
0.0274,1001.617933,0.0001,298,1.7260876397725107
0.0276,1002.087233,0.0001,298,1.726896384207546
0.0278,1002.553333,0.0001,298,1.7276996140843197
0.028,1002.949833,0.0001,298,1.7283829023189063
0.0282,1003.442367,0.0001,298,1.7292316858935186
0.0284,1003.8908,0.0001,298,1.7300044702387907
0.0286,1004.397533,0.0001,298,1.730877722942389
0.0288,1004.8421,0.0001,298,1.7316438450119613
0.029,1005.3062,0.0001,298,1.7324436282898217
0.0292,1005.738933,0.0001,298,1.7331893568336234
0.0294,1006.214933,0.0001,298,1.7340096473750186
0.0296,1006.6418,0.0001,298,1.7347452670442072
0.0298,1007.093167,0.0001,298,1.7355231075500852
0.03,1007.516133,0.0001,298,1.736252004628093
0.0302,1007.923367,0.0001,298,1.736953790759048
0.0304,1008.318967,0.0001,298,1.7376355280241236
0.0306,1008.746267,0.0001,298,1.7383718938819768
0.0308,1009.1621,0.0001,298,1.73908849866496
0.031,1009.589667,0.0001,298,1.739825324643768
0.0312,1009.998033,0.0001,298,1.740529061549708
0.0314,1010.401,0.0001,298,1.7412234943618812
0.0316,1010.820367,0.0001,298,1.7419461892851444
0.0318,1011.221767,0.0001,298,1.7426379216870689
0.032,1011.608533,0.0001,298,1.7433044353247438
0.0322,1011.979867,0.0001,298,1.7439443550052027
0.0324,1012.354433,0.0001,298,1.7445898443895056
0.0326,1012.7202,0.0001,298,1.745220170461889
0.0328,1013.091767,0.0001,298,1.7458604916711213
0.033,1013.495767,0.0001,298,1.7465567046516333
0.0332,1013.840967,0.0001,298,1.7471515876240904
0.0334,1014.240733,0.0001,298,1.7478405041547027
0.0336,1014.614567,0.0001,298,1.7484847320838033
0.0338,1014.977433,0.0001,298,1.7491100588644628
0.034,1015.292133,0.0001,298,1.7496523812034903
0.0342,1015.6805,0.0001,298,1.7503216538435955
0.0344,1016.069233,0.0001,298,1.7509915572113017
0.0346,1016.402433,0.0001,298,1.7515657605902784
0.0348,1016.6685,0.0001,298,1.7520242737068275
0.035,1017.0498,0.0001,298,1.752681367789672
0.0352,1017.423567,0.0001,298,1.7533254802577092
0.0354,1017.8239,0.0001,298,1.7540153738991133
0.0356,1018.1038,0.0001,298,1.754497725417047
0.0358,1018.455,0.0001,298,1.7551029481862446
0.036,1018.7999,0.0001,298,1.7556973141688648
0.0362,1019.152867,0.0001,298,1.7563055820082023
0.0364,1019.410433,0.0001,298,1.75674944535607
0.0366,1019.7577,0.0001,298,1.757347890388504
0.0368,1020.077767,0.0001,298,1.7578994616757158
0.037,1020.425433,0.0001,298,1.7584985943046332
0.0372,1020.705667,0.0001,298,1.7589815214045854
0.0374,1021.0522,0.0001,298,1.7595787015352184
0.0376,1021.3479,0.0001,298,1.7600882811845684
0.0378,1021.656267,0.0001,298,1.7606196898681366
0.038,1021.967033,0.0001,298,1.7611552327471014
0.0382,1022.334833,0.0001,298,1.7617890622872803
0.0384,1022.5729,0.0001,298,1.7621993230190414
0.0386,1022.880567,0.0001,298,1.76272952539299
0.0388,1023.1984,0.0001,298,1.7632772468292153
0.039,1023.4731,0.0001,298,1.7637506371899743
0.0392,1023.734667,0.0001,298,1.764201395458968
0.0394,1023.9979,0.0001,298,1.764655024744857
