Strain,Stress,delT,Rate,I_Temp,Temp
0.0384,1037.7672782,0.0,0.001,298,298
0.0386,1038.1054396,0.0,0.001,298,298
0.0388,1038.3865433,0.0,0.001,298,298
0.039,1038.6987031,0.0,0.001,298,298
0.0392,1039.0441658,0.0,0.001,298,298
0.0394,1039.3463178,0.0,0.001,298,298
0.0396,1039.6208139,0.0,0.001,298,298
0.0398,1039.9080678,0.0,0.001,298,298
0.04,1040.2147046,0.0,0.001,298,298
0.0402,1040.5163409,0.0,0.001,298,298
0.0404,1040.7746586,0.0,0.001,298,298
0.0406,1041.0250551,0.0,0.001,298,298
0.0408,1041.3040338,0.0,0.001,298,298
0.041,1041.5765303,0.0,0.001,298,298
0.0412,1041.9155983,0.0,0.001,298,298
0.0414,1042.1286621,0.0,0.001,298,298
0.0416,1042.435221,0.0,0.001,298,298
0.0418,1042.7290052,0.0,0.001,298,298
0.042,1043.0340732,0.0,0.001,298,298
0.0422,1043.2481776,0.0,0.001,298,298
0.0424,1043.5346433,0.0,0.001,298,298
0.0426,1043.8030551,0.0,0.001,298,298
0.0428,1044.0931353,0.0,0.001,298,298
0.043,1044.3877506,0.0,0.001,298,298
0.0432,1044.6370582,0.0,0.001,298,298
0.0434,1044.8743261,0.0,0.001,298,298
0.0436,1045.1001562,0.0,0.001,298,298
0.0438,1045.4226866,0.0,0.001,298,298
0.044,1045.6767828,0.0,0.001,298,298
0.0442,1045.9484592,0.0,0.001,298,298
0.0444,1046.1448034,0.0,0.001,298,298
0.0446,1046.4464581,0.0,0.001,298,298
0.0448,1046.7219166,0.0,0.001,298,298
0.045,1046.946139,0.0,0.001,298,298
0.0452,1047.1632092,0.0,0.001,298,298
0.0454,1047.4071681,0.0,0.001,298,298
0.0456,1047.65502,0.0,0.001,298,298
0.0458,1047.9133933,0.0,0.001,298,298
0.046,1048.1572481,0.0,0.001,298,298
0.0462,1048.3583854,0.0,0.001,298,298
0.0464,1048.6644833,0.0,0.001,298,298
0.0466,1048.9032005,0.0,0.001,298,298
0.0468,1049.164391,0.0,0.001,298,298
0.0,0.0,0.0,0.01,298,298
0.0005,694.8929827,0.0,0.01,298,298
0.001,757.4279023,0.0,0.01,298,298
0.0015,789.7268136,0.0,0.01,298,298
0.002,811.8936697,0.0,0.01,298,298
0.0025,829.7954938,0.0,0.01,298,298
0.003,845.0129926,0.0,0.01,298,298
0.0035,858.3834029,0.0,0.01,298,298
0.004,869.8837093,0.0,0.01,298,298
0.0045,880.1329859,0.0,0.01,298,298
0.005,889.4115995,0.0,0.01,298,298
0.0055,897.8371277,0.0,0.01,298,298
0.006,905.5545614,0.0,0.01,298,298
0.0065,912.6586257,0.0,0.01,298,298
0.007,919.2804145,0.0,0.01,298,298
0.0075,925.2984735,0.0,0.01,298,298
0.008,930.8955389,0.0,0.01,298,298
0.0085,936.155251,0.0,0.01,298,298
0.009,941.0399615,0.0,0.01,298,298
0.0095,945.6095436,0.0,0.01,298,298
0.01,949.9830247,0.0,0.01,298,298
0.0105,954.1401969,0.0,0.01,298,298
0.011,958.0794843,0.0,0.01,298,298
0.0115,961.847814,0.0,0.01,298,298
0.012,965.4353199,0.0,0.01,298,298
0.0125,968.8062755,0.0,0.01,298,298
0.013,971.9627781,0.0,0.01,298,298
0.0135,975.0356649,0.0,0.01,298,298
0.014,977.9994473,0.0,0.01,298,298
0.0145,980.8149088,0.0,0.01,298,298
0.015,983.5670933,0.0,0.01,298,298
0.0155,986.1927976,0.0,0.01,298,298
0.016,988.7624469,0.0,0.01,298,298
0.0165,991.2037116,0.0,0.01,298,298
0.017,993.551634,0.0,0.01,298,298
0.0175,995.8144966,0.0,0.01,298,298
0.018,998.0047012,0.0,0.01,298,298
0.0185,1000.0823657,0.0,0.01,298,298
0.019,1002.1171854,0.0,0.01,298,298
0.0195,1004.0776986,0.0,0.01,298,298
0.02,1005.9637807,0.0,0.01,298,298
0.0205,1007.7978485,0.0,0.01,298,298
0.021,1009.5952395,0.0,0.01,298,298
0.0215,1011.361005,0.0,0.01,298,298
0.022,1013.0952287,0.0,0.01,298,298
0.0225,1014.7113089,0.0,0.01,298,298
0.023,1016.2610425,0.0,0.01,298,298
0.0235,1017.8624741,0.0,0.01,298,298
0.024,1019.4035065,0.0,0.01,298,298
0.0245,1020.8148616,0.0,0.01,298,298
0.025,1022.1842012,0.0,0.01,298,298
0.0255,1023.5856971,0.0,0.01,298,298
0.026,1024.9903339,0.0,0.01,298,298
0.0265,1026.3125037,0.0,0.01,298,298
0.027,1027.5661663,0.0,0.01,298,298
0.0275,1028.7946891,0.0,0.01,298,298
0.028,1030.0349425,0.0,0.01,298,298
0.0285,1031.2527906,0.0,0.01,298,298
0.029,1032.3923423,0.0,0.01,298,298
0.0295,1033.4981868,0.0,0.01,298,298
0.03,1034.6355624,0.0,0.01,298,298
0.0305,1035.7450817,0.0,0.01,298,298
0.031,1036.7946546,0.0,0.01,298,298
