strain,StrRt0.0001,StrRt0.001,StrRt0.01,StrRt0.1,ref_StrRt0.0001,ref_StrRt0.001,ref_StrRt0.01,ref_StrRt0.1
0.84,1336.9773643651467,1337.062458351248,1245.7638047525306,1241.9404159570383,1.1428616516328296,1.142934390825049,1.0648913866390886,1.0616231155747344
0.85,1337.9341345731912,1338.0979797024174,1246.4671153923207,1242.7829991965802,1.1432860574449708,1.1434260657211515,1.065126030696793,1.061977894647524
0.86,1338.8790663995442,1339.121203753246,1247.1616406320968,1243.616075917626,1.1437056147610638,1.1439124548393964,1.065358184097481,1.0623294697249845
0.87,1339.8124413699993,1340.1324169586642,1247.8475904535785,1244.439862042326,1.1441204333318176,1.1443936735241422,1.0655879000958954,1.0626779019602068
0.88,1340.734531177223,1341.131895904612,1248.5251674785152,1245.2545661768445,1.1445306192141114,1.1448698333440652,1.0658152302409074,1.0630232507356754
0.89,1341.6455981313466,1342.1199077556848,1249.1945673068672,1246.060389939112,1.14493627493521,1.145341042256187,1.0660402244480107,1.0633655737314414
0.9,1342.5458955851072,1343.0967106776952,1249.8559788358398,1246.8575282684012,1.1453374996479406,1.1458074047610451,1.0662629310679854,1.0637049269900456
0.91,1343.4356683352464,1344.0625542368243,1250.50958456106,1247.6461697179154,1.1457343892774219,1.1462690220495895,1.066483396951981,1.0640413649783744
0.92,1344.315153001733,1345.0176797769018,1251.1555608610784,1248.4264967315016,1.1461270366598977,1.1467259921423234,1.0667016675132361,1.0643749406466214
0.93,1345.1845783862611,1345.9623207762388,1251.7940782662893,1249.1986859055132,1.14651553167417,1.147178410021185,1.066917786785646,1.064705705484515
0.94,1346.0441658113707,1346.896703185319,1252.4253017132817,1249.9629082367655,1.1468999613661137,1.1476263677546108,1.0671317974793693,1.0650337095749638
0.95,1346.8941294414265,1347.8210457465802,1253.0493907855512,1250.7193293574658,1.1472804100666927,1.1480699546162079,1.067343741033645,1.0653590016452545
0.96,1347.7346765866048,1348.7355602973958,1253.6664999414463,1251.4681097579287,1.1476569595038852,1.1485092571974138,1.0675536576669975,1.065681629115941
0.97,1348.566007990963,1349.640452057327,1254.276778730145,1252.2094049978346,1.1480296889089012,1.1489443595145288,1.0677615864249757,1.0660016381475468
