Strain,Stress,delT,Rate,I_Temp,Temp
0.0003,584.6394731072651,0,0.001,298.0,298.0
0.0004,619.7916684140366,0,0.001,298.0,298.0
0.0005,646.0491274804259,0,0.001,298.0,298.0
0.0006,666.860133597009,0,0.001,298.0,298.0
0.0007,684.0171512293238,0,0.001,298.0,298.0
0.0008,698.5651556863156,0,0.001,298.0,298.0
0.0009,711.1638757716596,0,0.001,298.0,298.0
0.001,722.2550514797215,0,0.001,298.0,298.0
0.002,791.5037339640205,0,0.001,298.0,298.0
0.003,829.6209708060078,0,0.001,298.0,298.0
0.004,855.9241670425223,0,0.001,298.0,298.0
0.005,876.012118640399,0,0.001,298.0,298.0
0.01,936.947169711966,0,0.001,298.0,298.0
0.011,945.1057853304566,0,0.001,298.0,298.0
0.012,952.4830715861297,0,0.001,298.0,298.0
0.013,959.1996127832124,0,0.001,298.0,298.0
0.014,965.3494742013168,0,0.001,298.0,298.0
0.015,971.0076573096449,0,0.001,298.0,298.0
0.016,976.2350824706992,0,0.001,298.0,298.0
0.017,981.0820227699104,0,0.001,298.0,298.0
0.018,985.5905341938472,0,0.001,298.0,298.0
0.019,989.796216095882,0,0.001,298.0,298.0
0.02,993.7295131350992,0,0.001,298.0,298.0
0.021,997.4166960474532,0,0.001,298.0,298.0
0.022,1000.8806128380818,0,0.001,298.0,298.0
0.023,1004.1412728340543,0,0.001,298.0,298.0
0.024,1007.2163070212562,0,0.001,298.0,298.0
0.025,1010.121335413786,0,0.001,298.0,298.0
0.026,1012.8702635888226,0,0.001,298.0,298.0
0.027,1015.4755245591748,0,0.001,298.0,298.0
0.028,1017.9482779643754,0,0.001,298.0,298.0
0.029,1020.2985755698083,0,0.001,298.0,298.0
0.03,1022.5354998989374,0,0.001,298.0,298.0
0.031,1024.6672812376771,0,0.001,298.0,298.0
0.032,1026.7013970739283,0,0.001,298.0,298.0
0.033,1028.644657153684,0,0.001,298.0,298.0
0.034,1030.5032766673985,0,0.001,298.0,298.0
0.035,1032.2829395696613,0,0.001,298.0,298.0
0.036,1033.9888536411663,0,0.001,298.0,298.0
0.037,1035.625798595269,0,0.001,298.0,298.0
0.038,1037.198168290765,0,0.001,298.0,298.0
0.039,1038.710007922255,0,0.001,298.0,298.0
0.04,1040.1650469079295,0,0.001,298.0,298.0
0.041,1041.5667280730424,0,0.001,298.0,298.0
0.042,1042.918233629275,0,0.001,298.0,298.0
0.043,1044.2225083704527,0,0.001,298.0,298.0
0.044,1045.482280439965,0,0.001,298.0,298.0
0.045,1046.7000799716816,0,0.001,298.0,298.0
0.046,1047.8782558619075,0,0.001,298.0,298.0
0.047,1049.0189908931625,0,0.001,298.0,298.0
0.048,1050.1243153998298,0,0.001,298.0,298.0
0.049,1051.1961196399996,0,0.001,298.0,298.0
0.05,1052.236165016056,0,0.001,298.0,298.0
0.051,1053.2460942681996,0,0.001,298.0,298.0
0.052,1054.2274407494235,0,0.001,298.0,298.0
0.053,1055.1816368771165,0,0.001,298.0,298.0
0.054,1056.1100218449933,0,0.001,298.0,298.0
0.055,1057.0138486692165,0,0.001,298.0,298.0
0.056,1057.894290634029,0,0.001,298.0,298.0
0.057,1058.752447194862,0,0.001,298.0,298.0
0.058,1059.5893493904553,0,0.001,298.0,298.0
0.059,1060.4059648099208,0,0.001,298.0,298.0
0.06,1061.203202155797,0,0.001,298.0,298.0
0.061,1061.981915439834,0,0.001,298.0,298.0
0.062,1062.7429078444625,0,0.001,298.0,298.0
0.063,1063.486935279578,0,0.001,298.0,298.0
0.064,1064.2147096613023,0,0.001,298.0,298.0
0.065,1064.9269019367805,0,0.001,298.0,298.0
0.066,1065.6241448767369,0,0.001,298.0,298.0
0.067,1066.3070356554576,0,0.001,298.0,298.0
0.068,1066.9761382359898,0,0.001,298.0,298.0
0.069,1067.631985576735,0,0.001,298.0,298.0
0.07,1068.2750816740945,0,0.001,298.0,298.0
0.071,1068.9059034545303,0,0.001,298.0,298.0
0.072,1069.5249025281769,0,0.001,298.0,298.0
